LinkID,PositionX (m),PositionY (m),PositionZ (m)
AUTO_000587,-107.690,2121.886,1.258
AUTO_000588,-104.370,2122.509,1.148
AUTO_000589,-101.735,2122.244,1.154
AUTO_000590,-99.924,2121.849,1.144
AUTO_000591,-97.232,2122.434,0.932
AUTO_000592,-95.193,2122.508,0.153
AUTO_000593,-92.693,2121.965,1.735
AUTO_000594,-89.975,2121.983,1.094
AUTO_000595,-87.298,2121.989,0.814
AUTO_000596,-84.805,2121.847,1.716
AUTO_000597,-81.559,2121.138,0.906
AUTO_000598,-80.016,2121.539,0.948
AUTO_000599,-77.041,2120.225,0.829
AUTO_000600,-75.201,2121.031,0.811
AUTO_000601,-71.890,2120.650,0.520
AUTO_000602,-69.298,2120.018,0.790
AUTO_000603,-66.695,2120.627,0.496
AUTO_000604,-64.855,2119.458,1.087
AUTO_000605,-61.023,2119.574,0.979
AUTO_000606,-58.967,2119.343,0.775
AUTO_000607,-56.084,2119.573,1.110
AUTO_000608,-53.581,2118.886,0.551
AUTO_000609,-52.501,2118.953,0.634
AUTO_000610,-48.867,2118.343,1.094
AUTO_000611,-47.262,2118.142,0.788
AUTO_000612,-43.873,2117.371,0.444
AUTO_000613,-40.987,2117.037,0.361
AUTO_000614,-38.926,2116.784,0.078
AUTO_000615,-37.053,2116.408,0.667
AUTO_000616,-34.229,2115.989,1.170
AUTO_000617,-30.238,2115.375,1.306
AUTO_000618,-28.749,2114.943,0.469
AUTO_000619,-26.933,2114.793,0.817
AUTO_000620,-24.027,2113.703,0.951
AUTO_000621,-21.678,2113.535,0.610
AUTO_000622,-18.706,2112.737,0.313
AUTO_000623,-17.101,2112.959,0.947
AUTO_000624,-13.836,2111.906,0.452
AUTO_000625,-12.100,2111.211,0.723
AUTO_000626,-8.882,2110.171,0.592
AUTO_000627,-5.810,2109.826,1.199
